edad	      estudiante    independiente
1000000		true		NULL
1000000		NULL		true
-10000000	false		true
19		true		true
17		NULL		true
17		true		false
-10000000	NULL		false
1		false		false
26		NULL		NULL
18		NULL		false
19		NULL		false
26		true		true
24		NULL		NULL
25		true		true
-1		false		NULL
25		NULL		NULL
26		false		false
1		true		true
1000000		false		false
18		true		true
-1		true		true
0		NULL		NULL
17		false		NULL
-1		NULL		false
24		false		false
1		NULL		NULL
24		true		true
0		true		false
19		false		NULL
25		false		false
NULL		NULL		true
18		false		NULL
-10000000	true		NULL
0		false		true
NULL		false		NULL
NULL		true		false
